,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K,Base
4,Grasp,"{'numIter': 50, 'numBest': 10, 'max_time': 1}",289.100445154343,0.2764747709957414,1.040625,3,Iris
5,Grasp,"{'numIter': 50, 'numBest': 15, 'max_time': 1}",289.3575133081539,0.0,1.0484375,3,Iris
6,Grasp,"{'numIter': 100, 'numBest': 5, 'max_time': 1}",289.238771032539,0.3462081951349747,1.01875,3,Iris
7,Grasp,"{'numIter': 100, 'numBest': 10, 'max_time': 1}",289.3575133081539,0.0,1.0265625,3,Iris
8,Grasp,"{'numIter': 100, 'numBest': 15, 'max_time': 1}",289.3575133081539,0.0,1.0515625,3,Iris
9,Grasp,"{'numIter': 200, 'numBest': 5, 'max_time': 1}",289.10564041588503,0.37669253834726535,1.0265625,3,Iris
10,Grasp,"{'numIter': 200, 'numBest': 10, 'max_time': 1}",289.3575133081539,0.0,1.034375,3,Iris
11,Grasp,"{'numIter': 200, 'numBest': 15, 'max_time': 1}",289.3575133081539,0.0,1.040625,3,Iris
12,Grasp,"{'numIter': 350, 'numBest': 5, 'max_time': 1}",289.1754255788227,0.3667708732567254,1.021875,3,Iris
13,Grasp,"{'numIter': 350, 'numBest': 10, 'max_time': 1}",289.3575133081539,0.0,1.034375,3,Iris
14,Grasp,"{'numIter': 350, 'numBest': 15, 'max_time': 1}",289.3575133081539,0.0,1.05,3,Iris
15,Grasp,"{'numIter': 500, 'numBest': 5, 'max_time': 1}",289.39054029219176,0.246913200995721,1.0234375,3,Iris
16,Grasp,"{'numIter': 500, 'numBest': 10, 'max_time': 1}",289.3575133081539,0.0,1.028125,3,Iris
17,Grasp,"{'numIter': 500, 'numBest': 15, 'max_time': 1}",289.3575133081539,0.0,1.0390625,3,Iris
0,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",270.80080253442884,7.6346236383438635,1.015625,7,Iris
1,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",273.57790717209355,3.3924637171839813,1.015625,7,Iris
2,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",269.93002174880587,5.642211101771592,1.015625,7,Iris
3,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",272.6914150818576,2.7932726714583787,1.015625,7,Iris
4,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",272.8986053703911,4.5321725441103835,1.015625,7,Iris
5,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",274.55253515868947,5.71972332929476,1.015625,7,Iris
6,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",270.9162658853912,3.7094130431498193,1.015625,7,Iris
7,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",273.00163918685604,4.1012519615444285,1.015625,7,Iris
8,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",272.5959740149377,4.234154857349332,1.015625,7,Iris
9,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",272.98240952119966,4.755834340855485,1.015625,7,Iris
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",273.0255989214077,4.649468879412196,1.015625,7,Iris
11,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",274.56024577447135,5.250446222555504,1.015625,7,Iris
12,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",274.45369083199273,1.7041824352969064,1.015625,7,Iris
13,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",275.230551297362,3.3638946355580717,1.015625,7,Iris
14,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",273.09508604863396,3.89852793554276,1.015625,7,Iris
15,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",274.4018738809328,5.9724905016762415,1.015625,7,Iris
16,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",270.65194372746436,6.821870792680501,1.015625,7,Iris
17,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",274.4044981550819,2.917069618105458,1.015625,7,Iris
0,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",279.2859423853529,4.940715957635055,0.8078125,7,Iris
1,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",273.5698386221428,4.5376781143213565,1.01875,7,Iris
2,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",278.7047856916051,3.957436487536113,0.9578125,7,Iris
3,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",274.9293531907806,3.950689029511192,0.984375,7,Iris
4,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",281.405391229244,2.9688456508655,0.775,7,Iris
5,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",275.3439568246575,2.474622202259433,1.0171875,7,Iris
6,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",281.6240565058579,1.6635240111845981,1.0265625,7,Iris
7,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",280.38505349576087,1.8284681302335493,1.0296875,7,Iris
8,Genético,"{'pop_size': 30, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",281.76605418396645,1.1211658578168615,1.0359375,7,Iris
