,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K,Problema
1,Genético,"{'pop_size': 10, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",44378.19548043448,543.3617613743421,0.9375,2,Wine
2,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",44960.610685888714,531.1128045001349,0.7953125,2,Wine
3,Genético,"{'pop_size': 10, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",44384.25402064068,583.4367564755019,0.9359375,2,Wine
4,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",45204.738215477904,520.7891462804189,0.7296875,2,Wine
5,Genético,"{'pop_size': 10, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",44762.90704943835,708.2919340446892,0.803125,2,Wine
6,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",45294.1264443491,149.94427537982514,1.0296875,2,Wine
7,Genético,"{'pop_size': 30, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",45105.61192490554,240.73564376228973,1.03125,2,Wine
8,Genético,"{'pop_size': 30, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",45357.142042471714,225.48867309687336,1.028125,2,Wine
9,Genético,"{'pop_size': 30, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",45190.080192677844,170.67316896799156,1.0359375,2,Wine
10,Genético,"{'pop_size': 30, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",45383.320058377794,105.55389171528493,1.0390625,2,Wine
11,Genético,"{'pop_size': 30, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",45312.82399609867,207.79375664756085,1.0359375,2,Wine
12,Genético,"{'pop_size': 50, 'cross_ratio': 0.75, 'mut_ratio': 0.1, 'max_time': 1}",45498.68023881603,158.08734996523646,1.0453125,2,Wine
13,Genético,"{'pop_size': 50, 'cross_ratio': 0.75, 'mut_ratio': 0.2, 'max_time': 1}",45512.19938779643,136.0095379899521,1.040625,2,Wine
14,Genético,"{'pop_size': 50, 'cross_ratio': 0.85, 'mut_ratio': 0.1, 'max_time': 1}",45571.064468052464,70.47719964784386,1.040625,2,Wine
15,Genético,"{'pop_size': 50, 'cross_ratio': 0.85, 'mut_ratio': 0.2, 'max_time': 1}",45379.85453350011,246.39798851962354,1.046875,2,Wine
16,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",45592.57022442512,108.08480925600549,1.05625,2,Wine
17,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",45544.16900482278,52.83913952824424,1.053125,2,Wine
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",46071.5501975795,0.0,1.0390625,2,Wine
