,0,1,2,3,4,5,6,7,8,9,10
0,ZeroR,3.1764260469492797e-12,6.52932349873575e-12,0.6061285543106183,1.3542754092366858e-31,2.9877364720586186e-29,3.560662819321859e-29,2.087572838669827e-34,1.361488180512773e-34,2.213628204726263e-30,3.911993616183417e-33
1,2.4948108951029552e-06,Aleatório,0.05369339992419964,1.0944187078999826e-05,2.918390526405701e-27,1.920153727685498e-26,6.839024264468547e-26,4.613496315128346e-28,5.693025343673934e-28,1.256380878077968e-25,1.5441745757552337e-28
2,3.6414880095056903e-06,0.07376184129879393,Aleatório Estratificado,0.00016082080874793982,4.718490248064465e-26,1.1035774582505782e-26,2.263313030553324e-26,1.393956900861324e-29,1.1214329725482396e-29,3.6663079889161444e-26,1.1747318753818876e-27
3,0.5372102720252583,9.787200986262354e-05,0.0010293245768963886,OneR Probabilístico,5.765202456372294e-16,1.1023925598547904e-18,6.207086056212485e-16,1.0881532026749628e-17,7.601859605493742e-18,5.594194361026215e-17,1.1314116232383606e-17
4,1.595254879875626e-06,1.7213435893906393e-06,1.7094495621956692e-06,1.726772765612998e-06,Naive Bayes Gaussiano,0.012217701146188299,0.9041205118421438,1.715521340471041e-06,9.547578880917384e-07,0.39881706610134715,1.0430858845290601e-05
5,1.6773596492011899e-06,1.7224282827430733e-06,1.7062176754796548e-06,1.7191759138770554e-06,0.030176888945465195,KmeansCentroides,0.017732938609916076,0.05329565601708878,0.041894233520894664,0.0018275251343127647,0.33940461756253604
6,1.6405589938543058e-06,1.7040659206732472e-06,1.712686559944352e-06,1.714847401033251e-06,0.7749417211754097,0.02156582549694301,KGACentroides,2.4249469842176185e-06,1.3680726680167118e-06,0.372518656141164,0.0001574276665680944
7,1.6208657097261417e-06,1.6879998873377655e-06,1.7062176754796548e-06,1.7170105183845441e-06,6.961481976288485e-05,0.06574010250023148,7.28637761051128e-05,Knn,0.32558198801619365,2.1996627186825613e-07,0.08852256215683096
8,1.6332804398014518e-06,1.6976242500698797e-06,1.6965526182776899e-06,1.7180929312456739e-06,5.436866709126039e-05,0.057895919101282625,5.7256168366963e-05,0.31731050786291415,DistKnn,7.076165426393266e-08,0.06491360406220403
9,1.647864634710871e-06,1.711606992411454e-06,1.7170105183845441e-06,1.7094495621956692e-06,0.6150290799568267,0.003429046314715273,0.3366253590545809,2.771064840229349e-05,1.5817639350000023e-05,Árvore de Decisão,9.083280687773836e-06
10,1.5911887177012708e-06,1.7191759138770554e-06,1.7094495621956692e-06,1.707294403549849e-06,0.00010302437936280573,0.3214074728447367,0.0006591555036188099,0.1065869498376532,0.10049370022943885,0.00015444941470603996,Florestas de Árvores
