,0,1,2,3,4,5,6,7,8,9,10
0,ZeroR,0.04844823741859804,4.5450138637857054e-05,2.480591693951684e-10,1.1425147058806015e-29,2.4344094142586178e-30,9.529278565133034e-32,1.1297799348101337e-28,2.6783408816792406e-28,2.0040658338238825e-24,5.391560195466216e-34
1,0.022582751439338706,Aleatório,0.04086482312538373,1.0739251713102581e-08,6.853876723733468e-23,1.5535025595355392e-23,4.384986476389918e-24,7.367721711330945e-23,9.43852448698771e-23,4.7107759593024876e-21,2.222091428585214e-24
2,8.63335012951618e-05,0.040307759705410874,Aleatório Estratificado,2.0778042383922826e-11,6.4260254577279535e-25,5.584674444837449e-25,3.974118560880615e-25,2.6353579611512028e-24,2.4636575441673236e-24,9.27256659280004e-21,2.3651960043130806e-25
3,4.362683279169068e-06,4.758125021392702e-06,2.8204986052253246e-06,OneR Probabilístico,4.6249563950438524e-18,5.945081264046406e-18,6.570616259485158e-18,4.187761533289494e-17,7.209648667976634e-17,5.85448954903888e-13,4.650426587852649e-18
4,8.056983213913102e-07,1.678421145178411e-06,1.6136602798486922e-06,1.6249951586519442e-06,Naive Bayes Gaussiano,0.3868414511837559,0.9681371229141145,0.05271217858365924,0.017861489816897058,5.397341742542861e-08,0.201009013397462
5,1.1598053057642213e-06,1.6869333328939244e-06,1.6384766464748476e-06,1.682672742622478e-06,0.5580088344574561,KmeansCentroides,0.18077802183966485,0.20729582154116433,0.12900475031460215,9.754535639764882e-07,0.047711159018433584
6,1.0701577435966353e-06,1.6752383396794872e-06,1.627063178275408e-06,1.6879998873377655e-06,0.5574801348628696,0.17971249487899976,KGACentroides,0.031223022076802973,0.017286424119672676,4.675184957908485e-08,0.15472973555642788
7,1.2490318300132333e-06,1.6426435524004428e-06,1.608529953662873e-06,1.6805458207281375e-06,0.11458867939991153,0.16551785869747015,0.029303072040448363,Knn,0.32558198801619365,2.064186324279595e-07,0.008909412288397766
8,1.2498611189428947e-06,1.6426435524004428e-06,1.607505526400268e-06,1.6837370465306977e-06,0.02013675155034634,0.08808151166219029,0.0167623361771865,0.31731050786291415,DistKnn,9.693752513906907e-07,0.008065054310033144
9,1.517513194904458e-06,1.584093785148103e-06,1.7062176754796548e-06,1.7094495621956692e-06,2.8141406573448042e-05,4.3609683866578595e-05,1.5194593678462341e-05,3.480887070215058e-05,9.374336857547934e-05,Árvore de Decisão,8.131255157836059e-09
10,9.025608716119522e-07,1.6731192718520786e-06,1.6510039351080608e-06,1.6731192718520786e-06,0.17241510261138115,0.043451534252480294,0.15049923625515474,0.009937802142708837,0.009937802142708837,7.182338266985412e-06,Florestas de Árvores
