,0,1,2,3,4,5,6,7,8,9,10
0,ZeroR,0.9999999999999993,0.7536839696488581,5.107421396122987e-16,6.614061938281322e-33,4.26500064258689e-34,2.5345859008800356e-30,9.103529040322204e-31,1.1350566657340885e-30,3.1287614569418345e-34,4.265000642586829e-34
1,0.6960218895936294,Aleatório,0.8499247585530678,1.5389290786873893e-11,5.304304883801597e-19,4.2986289577852446e-20,5.92320635450182e-19,2.311113264371242e-18,1.6344299814703803e-18,4.97388769405559e-20,1.4963731865475387e-19
2,0.5853657851046976,0.8567751899179948,Aleatório Estratificado,7.22459409666195e-14,1.4398383915056822e-22,3.1546687046620803e-22,5.4634556493222195e-22,1.19013122098937e-22,2.686377547493835e-22,1.6623449599212483e-22,7.826116718398357e-23
3,1.5729980583316278e-06,2.5270495720681005e-06,1.7019164327509632e-06,OneR Probabilístico,4.3880074892452035e-08,2.8736831486432463e-07,7.478174016140602e-07,1.209491227628153e-07,2.679575588905252e-07,2.1380892374202024e-08,3.495037571790217e-08
4,1.074533845672884e-06,1.6646653803352653e-06,1.6157162365260918e-06,8.629620708865918e-06,Naive Bayes Gaussiano,0.3544737695796909,0.1607882084258767,0.6452574929886927,0.7867584856176069,0.5725145639415321,0.10329970911247381
5,9.417385026845154e-07,1.6322428529318053e-06,1.6374363013972621e-06,2.3538140770445028e-05,0.35553153271834503,KmeansCentroides,0.022608379396792604,0.16078820842587654,0.20178586998487985,0.6252664336285333,1.0
6,1.1810002032919667e-06,1.6752383396794872e-06,1.6343185778530127e-06,2.9363525547811108e-05,0.15333049284635678,0.02553825631020659,KGACentroides,0.2549519501875738,0.16936210287102269,0.07293518433471967,0.022608379396792604
7,1.074533845672884e-06,1.6837370465306977e-06,1.6167450356794127e-06,1.5892740385833395e-05,0.6373518882339371,0.15333049284635678,0.24821307898992362,Knn,0.6623617732700396,0.32558198801619365,0.08307466551442909
8,1.0650712458763252e-06,1.6625574931259496e-06,1.6457745401868774e-06,2.2582022432854048e-05,0.7815112949987133,0.18978340121672688,0.16551785869747015,0.6547208460185769,DistKnn,0.4762130837116392,0.13397251720606615
9,1.0607275908794804e-06,1.6530995771390012e-06,1.6384766464748476e-06,1.1071998017463662e-05,0.5637028616507731,0.6170750774519738,0.07260252961103253,0.31731050786291415,0.46685427082272546,Árvore de Decisão,0.4234950884933465
10,9.877718380864368e-07,1.6688878538480105e-06,1.6054583080241856e-06,7.899540251421135e-06,0.10247043485974941,1.0,0.025372538208042392,0.0832645166635504,0.13166801602281422,0.4142161782425253,Florestas de Árvores
