,0,1,2,3,4,5,6,7,8,9,10
0,ZeroR,0.44604934268458063,0.39779216557919395,1.5495131635550106e-15,6.614061938281322e-33,2.1121768817865334e-36,1.409366126380121e-31,9.103529040322204e-31,1.1350566657340885e-30,3.1287614569418345e-34,3.047562910590775e-32
1,0.9026008255203857,Aleatório,0.8929674322012452,1.1876850693234773e-14,1.6549613340000373e-23,3.733092511322421e-24,4.362077395632447e-22,1.6623449599212718e-22,4.504341345069922e-22,1.8420162357662345e-23,1.0464471915781322e-22
2,0.9739162634823075,0.6550505536198561,Aleatório Estratificado,2.0768256109668608e-12,1.019607532960053e-20,2.2621226526191343e-22,2.1462139680828405e-21,4.100947389711788e-22,1.6194588402431883e-21,3.3573299167558255e-22,1.1481006360644628e-21
3,1.6363965084210647e-06,1.711606992411454e-06,2.542440752168386e-06,OneR Probabilístico,2.100908069665702e-08,1.349800731356565e-07,1.8235799134728112e-07,5.0889955556170274e-08,9.859678467618038e-08,3.810634118495193e-08,5.6238036058355966e-08
4,1.074533845672884e-06,1.577025323878636e-06,1.5932207142442858e-06,7.796297110091363e-06,Naive Bayes Gaussiano,0.8314879779109544,0.32558198801619365,0.6452574929886927,0.7867584856176069,0.5362030951500086,1.0
5,8.702572478590947e-07,1.532212090484158e-06,1.6146879846587204e-06,1.1736163925825782e-05,0.8295667330282299,KmeansCentroides,0.2581741232035289,0.5005968941491585,0.6772121934492502,0.8011795030744269,0.8229732745526318
6,1.2219231472858422e-06,1.6146879846587204e-06,1.6249951586519442e-06,2.584986805367024e-05,0.31731050786291415,0.2441646752705079,KGACentroides,0.6014762511281209,0.447930710756247,0.1841413422919718,0.2549519501875738
7,1.074533845672884e-06,1.6239619729740938e-06,1.6416009966164372e-06,1.716522506277243e-05,0.6373518882339371,0.4753436121953518,0.5929800980174267,Knn,0.6623617732700396,0.2926983270352927,0.5362030951500086
8,1.0650712458763252e-06,1.6374363013972621e-06,1.6405589938543058e-06,1.7492378593449215e-05,0.7815112949987133,0.6579268252758792,0.4385780260809998,0.6547208460185769,DistKnn,0.447930710756247,0.6623617732700396
9,1.0607275908794804e-06,1.608529953662873e-06,1.6280980126795683e-06,1.157251270361672e-05,0.5270892568655381,0.7962534147376392,0.16279692662103762,0.28504940740261275,0.4385780260809998,Árvore de Decisão,0.48883556981941534
10,1.1093369049350377e-06,1.6384766464748476e-06,1.5760177000889836e-06,1.750973401279079e-05,1.0,0.8216570448597916,0.24821307898992373,0.5270892568655381,0.6547208460185769,0.47950012218695337,Florestas de Árvores
