,0,1,2,3,4,5,6,7,8,9,10
0,ZeroR,3.89794319489388e-11,2.300627570971052e-08,0.5110833928209241,1.3542754092366858e-31,8.004978030491896e-34,1.0465295602222915e-29,2.087572838669827e-34,1.361488180512773e-34,2.4246083181866734e-30,6.336181495932961e-35
1,2.965327996966994e-06,Aleatório,0.0046426549572734805,1.4947319372337516e-06,7.417391459005535e-24,4.1928196352530397e-26,4.538545725539978e-24,2.8100212885128424e-25,1.5091103145169777e-25,9.18107932528277e-25,8.417256272439063e-25
2,5.497220158780125e-06,0.002104045187401837,Aleatório Estratificado,0.002175002121218849,1.3551215686009075e-23,5.385067686621151e-26,1.4502419990597349e-24,2.8282468697315235e-26,4.271246250374208e-26,3.4026986262667905e-24,3.7945789924427334e-26
3,0.6899853342400853,7.30475860031558e-06,0.004379116819267852,OneR Probabilístico,1.4251166842229615e-16,7.750030010717466e-19,1.3355325729467095e-16,1.373151333372016e-17,1.1050732919589753e-17,1.7895804188780147e-16,2.2796926262087905e-18
4,1.595254879875626e-06,1.7029908934686465e-06,1.7159286750586906e-06,1.7256857880058036e-06,Naive Bayes Gaussiano,1.255520140358768e-05,0.7200439209347267,1.715521340471041e-06,9.547578880917384e-07,0.3518471599232569,7.031056093677892e-07
5,1.6405589938543058e-06,1.7019164327509632e-06,1.7180929312456739e-06,1.714847401033251e-06,0.0001295419899666355,KmeansCentroides,0.00040466917717547446,0.40051728939907383,0.332187271074616,6.647412128268682e-06,0.4693631202320022
6,1.659399844033728e-06,1.705141514598868e-06,1.7019164327509632e-06,1.7159286750586906e-06,0.6769677062330354,0.001340522498623272,KGACentroides,1.7476017119720997e-06,7.367538921552972e-07,0.1909002735467256,1.87316732851508e-05
7,1.6208657097261417e-06,1.7213435893906393e-06,1.714847401033251e-06,1.712686559944352e-06,6.961481976288485e-05,0.39852544873198215,5.4271714638369656e-05,Knn,0.32558198801619365,9.156363906524887e-08,0.789291588771386
8,1.6332804398014518e-06,1.7213435893906393e-06,1.7159286750586906e-06,1.7137666960733877e-06,5.436866709126039e-05,0.38486395976403087,4.344483826954141e-05,0.31731050786291415,DistKnn,3.54864974325769e-08,0.6934620718529417
9,1.6095549266126638e-06,1.7202594665136766e-06,1.714847401033251e-06,1.714847401033251e-06,0.7339021127625505,5.5956703401579615e-05,0.23353933496046797,1.0411391137286862e-05,1.146676416709922e-05,Árvore de Decisão,3.287223554216329e-07
10,1.5410884614417123e-06,1.705141514598868e-06,1.7202594665136766e-06,1.7224282827430733e-06,2.3086551812335926e-05,0.3511238902081578,0.00019468165710425584,0.8712756943575752,0.8362563311406145,7.370149117121762e-06,Florestas de Árvores
