,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K
1,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",263.43556205706625,5.052016297618952,1.015625,10
2,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",267.54976382830694,6.018660480774804,1.015625,10
3,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",267.9436135761734,2.736996040433884,1.015625,10
4,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",265.2002818222598,4.3460933002765545,1.015625,10
5,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",270.4591668187307,5.637191439836234,1.015625,10
6,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",271.2407546953467,3.293094945597842,1.015625,10
7,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",268.5869385528169,5.32052291495831,1.015625,10
8,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",267.9259060311429,7.14592994928836,1.015625,10
9,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",267.4565560462821,6.3337793192415965,1.015625,10
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",269.5760892936416,4.487848163923426,1.015625,10
11,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",266.62222896670795,3.7644481184766585,1.015625,10
12,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",266.1393709313702,6.66171873134175,1.015625,10
13,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",263.1963905575662,7.105816811849558,1.015625,10
14,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",264.1251350804158,5.226278048213554,1.015625,10
15,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",267.42017754503456,5.306126205769046,1.015625,10
16,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",268.0673829304234,5.089871223251121,1.015625,10
17,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",268.69122613431665,3.990235263965696,1.015625,10
0,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",263.8956326273509,3.943263816251425,1.015625,13
1,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",262.1799752619156,8.194569908852074,1.015625,13
2,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",264.51477787996856,4.065990377653593,1.015625,13
3,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",262.76671332320615,6.579802625964487,1.015625,13
4,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",265.72257430212983,5.1259059260638375,1.015625,13
5,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",266.1642884852238,2.6168308647830805,1.015625,13
6,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",259.9565953145503,6.927769382765823,1.015625,13
7,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",260.6717287599142,6.528316703866978,1.015625,13
8,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",264.32873345477174,6.8162917457196235,1.015625,13
9,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",260.7086467430942,3.1663909399110675,1.015625,13
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",261.35101329582966,3.894840312924182,1.015625,13
11,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",267.419864392029,3.4309884064428418,1.015625,13
12,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",261.8266176042604,3.6522682830686737,1.015625,13
13,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",262.90573302541605,4.894879041401469,1.015625,13
14,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",262.33312547363255,6.221850684703844,1.015625,13
15,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",263.6063845849608,7.067299204159216,1.015625,13
16,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",266.40069940848906,4.038643411214209,1.015625,13
17,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",262.34680460970355,4.4779169008293565,1.015625,13
0,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",248.2788933713902,7.352732733587656,1.015625,22
1,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",252.9307315525396,6.182073939112756,1.015625,22
2,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",251.98148765343018,3.3388082547561773,1.015625,22
3,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",249.0866862668608,6.230219400853036,1.015625,22
4,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",248.45227856403238,9.271805438602886,1.015625,22
5,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",248.26336455686652,5.474099751524418,1.015625,22
6,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",252.3175963316897,6.980555065452852,1.015625,22
7,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",250.85909856909228,5.426271559593014,1.015625,22
8,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",249.69345912393328,3.632503305727584,1.015625,22
9,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",250.7218651133111,3.2088589584429905,1.015625,22
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",244.0081102203082,6.842231064588688,1.015625,22
11,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",249.3336034018752,6.996036826423706,1.015625,22
12,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",252.82449004189039,7.049430490435147,1.015625,22
13,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",249.37833594065023,5.484676973108283,1.015625,22
14,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",247.82523347142964,8.793335076540709,1.015625,22
15,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",246.69523983545656,8.620039733157485,1.015625,22
16,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",248.62309971121766,6.293879175710017,1.015625,22
17,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",251.5466944524872,4.507211572017096,1.015625,22
