,Heuristica,Configuração,Média,Desvio Padrão,Tempo médio,K,Problema
16,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.1, 'max_time': 1}",289.8966603774618,0.44859692623502245,1.053125,3,Iris
17,Genético,"{'pop_size': 50, 'cross_ratio': 0.95, 'mut_ratio': 0.2, 'max_time': 1}",289.5393170801374,0.2918425924320614,1.084375,3,Iris
0,Grasp,"{'numIter': 20, 'numBest': 5, 'max_time': 1}",290.82019883431246,5.684341886080802e-14,1.0453125,3,Iris
1,Grasp,"{'numIter': 20, 'numBest': 10, 'max_time': 1}",290.61398496454683,0.032421081399907625,1.0640625,3,Iris
2,Grasp,"{'numIter': 20, 'numBest': 15, 'max_time': 1}",289.86918978881215,0.20016126449142926,1.059375,3,Iris
3,Grasp,"{'numIter': 50, 'numBest': 5, 'max_time': 1}",290.82019883431246,5.684341886080802e-14,1.0234375,3,Iris
4,Grasp,"{'numIter': 50, 'numBest': 10, 'max_time': 1}",290.84255618651986,5.684341886080802e-14,1.0359375,3,Iris
5,Grasp,"{'numIter': 50, 'numBest': 15, 'max_time': 1}",290.2520484454606,5.684341886080802e-14,1.053125,3,Iris
6,Grasp,"{'numIter': 100, 'numBest': 5, 'max_time': 1}",290.84032045129914,0.006707205662252137,1.021875,3,Iris
7,Grasp,"{'numIter': 100, 'numBest': 10, 'max_time': 1}",290.84255618651986,5.684341886080802e-14,1.0609375,3,Iris
8,Grasp,"{'numIter': 100, 'numBest': 15, 'max_time': 1}",290.2520484454606,5.684341886080802e-14,1.0515625,3,Iris
9,Grasp,"{'numIter': 200, 'numBest': 5, 'max_time': 1}",290.84255618651986,5.684341886080802e-14,1.0171875,3,Iris
10,Grasp,"{'numIter': 200, 'numBest': 10, 'max_time': 1}",290.84255618651986,5.684341886080802e-14,1.0375,3,Iris
11,Grasp,"{'numIter': 200, 'numBest': 15, 'max_time': 1}",290.2520484454606,5.684341886080802e-14,1.05,3,Iris
12,Grasp,"{'numIter': 350, 'numBest': 5, 'max_time': 1}",290.83808471607847,0.008942940883002848,1.0359375,3,Iris
13,Grasp,"{'numIter': 350, 'numBest': 10, 'max_time': 1}",290.84255618651986,5.684341886080802e-14,1.05,3,Iris
14,Grasp,"{'numIter': 350, 'numBest': 15, 'max_time': 1}",290.2520484454606,5.684341886080802e-14,1.0265625,3,Iris
15,Grasp,"{'numIter': 500, 'numBest': 5, 'max_time': 1}",290.84255618651986,5.684341886080802e-14,1.021875,3,Iris
16,Grasp,"{'numIter': 500, 'numBest': 10, 'max_time': 1}",290.84255618651986,5.684341886080802e-14,1.0359375,3,Iris
17,Grasp,"{'numIter': 500, 'numBest': 15, 'max_time': 1}",290.2520484454606,5.684341886080802e-14,1.05625,3,Iris
0,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",274.4542372571687,5.806987071200358,1.015625,7,Iris
1,Simulated Annealing,"{'t': 500, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",270.49709445342194,4.016364085957645,1.015625,7,Iris
2,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",272.224279966532,6.047110371775315,1.015625,7,Iris
3,Simulated Annealing,"{'t': 500, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",269.14887074301544,4.505068364658159,1.015625,7,Iris
4,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",272.36364886746543,6.298949629659009,1.015625,7,Iris
5,Simulated Annealing,"{'t': 500, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",270.97474388468584,6.4691074120621055,1.015625,7,Iris
6,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",273.71118893488466,3.6009511697749357,1.015625,7,Iris
7,Simulated Annealing,"{'t': 100, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",274.9802089249148,4.664750342404447,1.015625,7,Iris
8,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",272.30250091883096,7.032125947413452,1.015625,7,Iris
9,Simulated Annealing,"{'t': 100, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",267.56082073230914,4.065726351444716,1.015625,7,Iris
10,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",273.0326210002565,3.699022639032309,1.015625,7,Iris
11,Simulated Annealing,"{'t': 100, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",269.8839431312038,8.169436564094866,1.015625,7,Iris
12,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 350, 'max_time': 1}",273.2607042737847,3.789421094635423,1.015625,7,Iris
13,Simulated Annealing,"{'t': 50, 'alfa': 0.95, 'iter_max': 500, 'max_time': 1}",269.9508012739278,6.247385541158664,1.015625,7,Iris
14,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 350, 'max_time': 1}",272.67670092158914,5.323382634909133,1.015625,7,Iris
15,Simulated Annealing,"{'t': 50, 'alfa': 0.85, 'iter_max': 500, 'max_time': 1}",274.2104341095304,3.4334882647072176,1.0171875,7,Iris
16,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 350, 'max_time': 1}",270.98632487549133,4.662096010978965,1.015625,7,Iris
17,Simulated Annealing,"{'t': 50, 'alfa': 0.7, 'iter_max': 500, 'max_time': 1}",273.6250458779121,4.159878855427789,1.015625,7,Iris
